date,team_home,team_away,score_home,score_away,spread_home_vegas,total_vegas
2009-09-10,PIT,TEN,13,10,-6.5,35.5
2009-09-13,BAL,KC,38,24,-13.0,37.0
2009-09-13,CIN,DEN,7,12,-4.5,42.0
2009-09-13,CLE,MIN,20,34,4.0,40.0
2009-09-13,HOU,NYJ,7,24,-4.5,44.5
2009-09-13,IND,JAX,14,12,-6.5,45.0
2009-09-13,NYG,WAS,23,17,-6.0,37.0
2009-09-13,GB,CHI,21,15,-4.5,47.0
2009-09-13,ATL,MIA,19,7,-4.0,44.5
2009-09-13,CAR,PHI,10,38,1.0,43.5
2009-09-13,NO,DET,45,27,-14.0,50.0
2009-09-13,TB,DAL,21,34,4.5,40.0
2009-09-13,ARZ,SF,16,20,-5.5,45.5
2009-09-13,SEA,LAR,28,0,-7.0,41.0
2009-09-14,NE,BUF,25,24,-13.0,47.5
2009-09-14,OAK,LAC,20,24,10.0,42.5
2009-09-20,BUF,TB,33,20,-4.0,41.5
2009-09-20,NYJ,NE,16,9,3.5,44.5
2009-09-20,JAX,ARZ,17,31,-3.0,44.0
2009-09-20,TEN,HOU,31,34,-7.0,40.5
2009-09-20,DEN,CLE,27,6,-3.0,38.5
2009-09-20,KC,OAK,10,13,-1.0,40.0
2009-09-20,LAC,BAL,26,31,-1.0,41.0
2009-09-20,DAL,NYG,31,33,-3.0,44.5
2009-09-20,PHI,NO,22,48,2.5,46.0
2009-09-20,WAS,LAR,9,7,-10.0,37.0
2009-09-20,CHI,PIT,17,14,3.0,38.0
2009-09-20,DET,MIN,13,27,10.0,45.0
2009-09-20,GB,CIN,24,31,-9.0,41.5
2009-09-20,ATL,CAR,28,20,-6.0,43.5
2009-09-20,SF,SEA,23,10,-1.0,38.5
2009-09-21,MIA,IND,23,27,3.0,41.0
2009-09-27,BUF,NO,7,27,5.5,51.0
2009-09-27,NE,ATL,26,10,-4.5,45.5
2009-09-27,NYJ,TEN,24,17,-1.0,36.5
2009-09-27,BAL,CLE,34,3,-13.5,38.5
2009-09-27,CIN,PIT,23,20,3.5,36.5
2009-09-27,HOU,JAX,24,31,-4.0,47.0
2009-09-27,LAC,MIA,23,13,-5.5,45.0
2009-09-27,OAK,DEN,3,23,1.0,38.5
2009-09-27,PHI,KC,34,14,-9.0,38.5
2009-09-27,DET,WAS,19,14,6.5,39.5
2009-09-27,MIN,SF,27,24,-7.0,39.0
2009-09-27,TB,NYG,0,24,6.0,46.0
2009-09-27,ARZ,IND,10,31,-3.0,49.0
2009-09-27,LAR,GB,17,36,6.5,42.5
2009-09-27,SEA,CHI,19,25,1.0,37.5
2009-09-28,DAL,CAR,21,7,-9.0,48.0
2009-10-04,MIA,BUF,38,10,-1.0,37.5
2009-10-04,NE,BAL,27,21,-1.0,45.5
2009-10-04,CLE,CIN,20,23,6.0,37.5
2009-10-04,PIT,LAC,38,28,-5.5,43.0
2009-10-04,HOU,OAK,29,6,-9.0,42.5
2009-10-04,IND,SEA,34,17,-10.0,43.5
2009-10-04,JAX,TEN,37,17,3.0,42.0
2009-10-04,DEN,DAL,17,10,1.0,43.5
2009-10-04,KC,NYG,16,27,9.0,43.0
2009-10-04,WAS,TB,16,13,-9.5,36.0
2009-10-04,CHI,DET,48,24,-9.5,43.0
2009-10-04,NO,NYJ,24,10,-7.5,47.0
2009-10-04,SF,LAR,35,0,-9.5,36.5
2009-10-05,MIN,GB,30,23,-4.5,46.0
2009-10-11,BUF,CLE,3,6,-6.0,41.5
2009-10-11,BAL,CIN,14,17,-9.0,42.0
2009-10-11,TEN,IND,9,31,3.0,44.0
2009-10-11,DEN,NE,20,17,3.0,41.0
2009-10-11,KC,DAL,20,26,7.0,43.5
2009-10-11,NYG,OAK,44,7,-15.5,38.0
2009-10-11,PHI,TB,33,14,-15.5,41.5
2009-10-11,DET,PIT,20,28,11.0,44.0
2009-10-11,CAR,WAS,20,17,-5.0,38.0
2009-10-11,ARZ,HOU,28,21,-5.5,50.5
2009-10-11,LAR,MIN,10,38,10.0,40.5
2009-10-11,SF,ATL,10,45,-1.0,40.0
2009-10-11,SEA,JAX,41,0,-1.0,44.0
2009-10-12,MIA,NYJ,31,27,3.0,36.0
2009-10-18,NE,TEN,59,0,-9.5,38.0
2009-10-18,NYJ,BUF,13,16,-9.5,35.5
2009-10-18,CIN,HOU,17,28,-4.0,46.0
2009-10-18,PIT,CLE,27,14,-14.0,37.5
2009-10-18,JAX,LAR,23,20,-9.5,42.0
2009-10-18,OAK,PHI,13,9,14.0,40.5
2009-10-18,WAS,KC,6,14,-6.5,36.5
2009-10-18,GB,DET,26,0,-14.0,48.5
2009-10-18,MIN,BAL,33,31,-3.0,45.5
2009-10-18,ATL,CHI,21,14,-4.0,46.0
2009-10-18,NO,NYG,48,27,-3.5,47.0
2009-10-18,TB,CAR,21,28,3.0,40.5
2009-10-18,SEA,ARZ,3,27,-3.0,45.5
2009-10-19,LAC,DEN,23,34,-3.5,45.0
2009-10-25,MIA,NO,34,46,6.0,48.0
2009-10-25,CIN,CHI,45,10,1.0,42.5
2009-10-25,CLE,GB,3,31,9.5,41.5
2009-10-25,PIT,MIN,27,17,-6.0,46.5
2009-10-25,HOU,SF,24,21,-3.0,44.5
2009-10-25,KC,LAC,7,37,5.5,44.0
2009-10-25,OAK,NYJ,0,38,6.0,34.0
2009-10-25,DAL,ATL,37,21,-5.5,47.5
2009-10-25,NYG,ARZ,17,24,-9.0,46.5
2009-10-25,CAR,BUF,9,20,-7.0,37.0
2009-10-25,TB,NE,7,35,15.5,44.5
2009-10-25,LAR,IND,6,42,14.0,45.0
2009-10-26,WAS,PHI,17,27,9.0,38.0
2009-11-01,BUF,HOU,10,31,3.5,42.0
2009-11-01,NYJ,MIA,25,30,-3.5,40.0
2009-11-01,BAL,DEN,30,7,-4.5,42.5
2009-11-01,IND,SF,18,14,-13.0,45.0
2009-11-01,TEN,JAX,30,13,-3.0,44.0
2009-11-01,LAC,OAK,24,16,-16.0,41.5
2009-11-01,DAL,SEA,38,17,-10.0,46.0
2009-11-01,PHI,NYG,40,17,1.0,43.0
2009-11-01,CHI,CLE,30,6,-11.5,39.5
2009-11-01,DET,LAR,10,17,-3.5,43.5
2009-11-01,GB,MIN,26,38,-3.5,46.5
2009-11-01,ARZ,CAR,21,34,-10.0,43.5
2009-11-02,NO,ATL,35,27,-11.0,56.0
2009-11-08,NE,MIA,27,17,-10.5,47.0
2009-11-08,CIN,BAL,17,7,3.0,45.0
2009-11-08,IND,HOU,20,17,-7.5,50.5
2009-11-08,JAX,KC,24,21,-7.0,41.5
2009-11-08,NYG,LAC,20,21,-5.0,48.5
2009-11-08,PHI,DAL,16,20,-3.0,50.0
2009-11-08,CHI,ARZ,21,41,-1.0,44.5
2009-11-08,ATL,WAS,31,17,-9.0,41.0
2009-11-08,NO,CAR,30,20,-12.5,51.0
2009-11-08,TB,GB,38,28,9.5,43.0
2009-11-08,SF,TEN,27,34,-4.5,41.0
2009-11-08,SEA,DET,32,20,-11.0,42.0
2009-11-09,DEN,PIT,10,28,3.0,41.0
2009-11-12,SF,CHI,10,6,-3.5,43.0
2009-11-15,MIA,TB,25,23,-10.0,43.0
2009-11-15,NYJ,JAX,22,24,-6.5,41.0
2009-11-15,PIT,CIN,12,18,-6.5,41.0
2009-11-15,IND,NE,35,34,-1.0,48.0
2009-11-15,TEN,BUF,41,17,-9.0,41.0
2009-11-15,LAC,PHI,31,23,-1.0,47.0
2009-11-15,OAK,KC,10,16,-1.0,36.5
2009-11-15,WAS,DEN,27,17,3.5,36.0
2009-11-15,GB,DAL,17,7,3.0,48.0
2009-11-15,MIN,DET,27,10,-17.0,47.5
2009-11-15,CAR,ATL,28,19,1.0,43.5
2009-11-15,ARZ,SEA,31,20,-9.0,46.5
2009-11-15,LAR,NO,23,28,14.0,50.5
2009-11-16,CLE,BAL,0,16,10.5,39.5
2009-11-19,CAR,MIA,17,24,-3.5,42.0
2009-11-22,NE,NYJ,31,14,-10.5,45.0
2009-11-22,BAL,IND,15,17,1.0,44.0
2009-11-22,JAX,BUF,18,15,-9.0,41.5
2009-11-22,DEN,LAC,3,32,6.5,41.5
2009-11-22,KC,PIT,27,24,10.5,39.5
2009-11-22,OAK,CIN,20,17,9.0,36.0
2009-11-22,DAL,WAS,7,6,-11.0,41.5
2009-11-22,NYG,ATL,34,31,-7.0,46.0
2009-11-22,CHI,PHI,20,24,3.5,46.5
2009-11-22,DET,CLE,38,37,-3.5,37.5
2009-11-22,GB,SF,30,24,-6.0,42.0
2009-11-22,MIN,SEA,35,9,-10.5,47.0
2009-11-22,TB,NO,7,38,10.5,51.0
2009-11-22,LAR,ARZ,13,21,9.5,46.5
2009-11-23,HOU,TEN,17,20,-4.0,48.0
2009-11-26,DEN,NYG,26,6,4.5,43.5
2009-11-26,DAL,OAK,24,7,-13.5,40.5
2009-11-26,DET,GB,12,34,11.0,48.0
2009-11-29,BUF,MIA,31,14,3.5,38.0
2009-11-29,NYJ,CAR,17,6,-3.5,41.5
2009-11-29,BAL,PIT,20,17,-9.0,35.0
2009-11-29,CIN,CLE,16,7,-12.0,39.5
2009-11-29,HOU,IND,27,35,3.0,48.0
2009-11-29,TEN,ARZ,20,17,-3.5,44.5
2009-11-29,LAC,KC,43,14,-13.5,44.5
2009-11-29,PHI,WAS,27,24,-9.5,40.5
2009-11-29,MIN,CHI,36,10,-10.0,47.0
2009-11-29,ATL,TB,20,17,-12.0,46.0
2009-11-29,LAR,SEA,17,27,3.5,42.5
2009-11-29,SF,JAX,20,3,-3.0,42.5
